"No.","Time","Source","Destination","Protocol","Length","Info"
"76","50.213072","127.0.0.1","127.0.0.1","TCP","44","12000  >  51707 [ACK] Seq=19 Ack=43 Win=2619648 Len=0"
"77","60.312826","127.0.0.1","127.0.0.1","TCP","56","51708  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"78","60.312929","127.0.0.1","127.0.0.1","TCP","56","12000  >  51708 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"79","60.313007","127.0.0.1","127.0.0.1","TCP","44","51708  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"80","60.313033","127.0.0.1","127.0.0.1","TCP","63","51708  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=19"
"81","60.313068","127.0.0.1","127.0.0.1","TCP","44","12000  >  51708 [ACK] Seq=1 Ack=20 Win=2619648 Len=0"
"82","60.313213","127.0.0.1","127.0.0.1","TCP","44","12000  >  51707 [FIN, ACK] Seq=19 Ack=43 Win=2619648 Len=0"
"83","60.313251","127.0.0.1","127.0.0.1","TCP","44","51707  >  12000 [ACK] Seq=43 Ack=20 Win=2619648 Len=0"
"84","60.314343","127.0.0.1","127.0.0.1","TCP","63","12000  >  51708 [PSH, ACK] Seq=1 Ack=20 Win=2619648 Len=19"
"85","60.314385","127.0.0.1","127.0.0.1","TCP","44","51708  >  12000 [ACK] Seq=20 Ack=20 Win=2619648 Len=0"
"86","60.315398","127.0.0.1","127.0.0.1","TCP","68","51708  >  12000 [PSH, ACK] Seq=20 Ack=20 Win=2619648 Len=24"
"87","60.315437","127.0.0.1","127.0.0.1","TCP","44","12000  >  51708 [ACK] Seq=20 Ack=44 Win=2619648 Len=0"
"88","60.316048","127.0.0.1","127.0.0.1","TCP","44","51708  >  12000 [FIN, ACK] Seq=44 Ack=20 Win=2619648 Len=0"
"89","60.316085","127.0.0.1","127.0.0.1","TCP","44","12000  >  51708 [ACK] Seq=20 Ack=45 Win=2619648 Len=0"
